R,Theta,Z,E_kin, Vsplit_x, Vsplit_y, Vsplit_z
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1